mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_time,end_time,start_s,end_s,makespan,sku_qty,picking_duration(s)
177,7,reshuffle,372,371,(5;6;1),(0;7;1),1705365751,1705365891,2551,2691,2691.0,29,0.0
178,8,target,371,371,(5;6;0),work station (Port 2),1705365391,1705365936,2191,2736,2736.0,29,58.0
179,1,return,371,371,work station (Port 2),(3;0;7),1705366004,1705366113,2804,2913,2913.0,29,0.0
180,6,reshuffle,354,350,(5;3;5),(0;7;2),1705365766,1705365921,2566,2721,2721.0,18,0.0
181,3,reshuffle,353,350,(5;3;4),(0;7;3),1705365811,1705365951,2611,2751,2751.0,18,0.0
182,4,reshuffle,352,350,(5;3;3),(0;7;4),1705365816,1705365981,2616,2781,2781.0,18,0.0
183,2,reshuffle,351,350,(5;3;2),(0;7;5),1705365876,1705366011,2676,2811,2811.0,18,0.0
184,5,target,350,350,(5;3;1),work station (Port 1),1705365846,1705366046,2646,2846,2846.0,18,36.0
185,2,return,350,350,work station (Port 1),(3;1;5),1705366047,1705366182,2847,2982,2982.0,18,0.0
186,6,reshuffle,312,308,(4;8;6),(0;7;6),1705365921,1705366041,2721,2841,2841.0,1,0.0
187,3,reshuffle,311,308,(4;8;5),(0;7;7),1705365951,1705366071,2751,2871,2871.0,1,0.0
188,4,reshuffle,310,308,(4;8;4),(1;5;4),1705365981,1705366096,2781,2896,2896.0,1,0.0
189,7,reshuffle,309,308,(4;8;3),(1;5;5),1705365891,1705366126,2691,2926,2926.0,1,0.0
190,6,target,308,308,(4;8;2),work station (Port 1),1705366041,1705366196,2841,2996,2996.0,1,2.0
191,0,return,308,308,work station (Port 1),(3;1;6),1705366183,1705366298,2983,3098,3098.0,1,0.0
192,3,reshuffle,171,165,(2;6;7),(1;5;6),1705366071,1705366156,2871,2956,2956.0,26,0.0
193,4,reshuffle,170,165,(2;6;6),(1;5;7),1705366096,1705366186,2896,2986,2986.0,26,0.0
194,5,reshuffle,169,165,(2;6;5),(2;8;2),1705366046,1705366216,2846,3016,3016.0,26,0.0
195,1,reshuffle,168,165,(2;6;4),(2;8;3),1705366113,1705366246,2913,3046,3046.0,26,0.0
196,3,reshuffle,167,165,(2;6;3),(2;8;4),1705366156,1705366276,2956,3076,3076.0,26,0.0
197,2,reshuffle,166,165,(2;6;2),(2;8;5),1705366182,1705366306,2982,3106,3106.0,26,0.0
198,1,target,165,165,(2;6;1),work station (Port 1),1705366246,1705366376,3046,3176,3176.0,26,52.0
199,0,return,165,165,work station (Port 1),(3;1;7),1705366408,1705366528,3208,3328,3328.0,26,0.0
200,4,reshuffle,230,225,(3;6;5),(2;6;1),1705366186,1705366326,2986,3126,3126.0,23,0.0
201,3,reshuffle,229,225,(3;6;4),(2;6;2),1705366276,1705366356,3076,3156,3156.0,23,0.0
202,2,reshuffle,228,225,(3;6;3),(2;6;3),1705366306,1705366386,3106,3186,3186.0,23,0.0
203,4,reshuffle,227,225,(3;6;2),(2;6;4),1705366326,1705366416,3126,3216,3216.0,23,0.0
204,3,reshuffle,226,225,(3;6;1),(2;6;5),1705366356,1705366446,3156,3246,3246.0,23,0.0
205,2,target,225,225,(3;6;0),work station (Port 1),1705366386,1705366526,3186,3326,3326.0,23,46.0
206,0,return,225,225,work station (Port 1),(3;2;3),1705366552,1705366677,3352,3477,3477.0,23,0.0
207,9,target,252,252,(3;10;0),work station (Port 3),1705365426,1705365636,2226,2436,2436.0,7,14.0
208,1,return,252,252,work station (Port 3),(3;2;4),1705366376,1705366707,3176,3507,3507.0,7,0.0
209,9,target,34,34,(0;6;0),work station (Port 3),1705365636,1705365776,2436,2576,2576.0,24,48.0
210,2,return,34,34,work station (Port 3),(3;2;5),1705366526,1705366737,3326,3537,3537.0,24,0.0
211,9,reshuffle,367,363,(5;5;4),(0;6;0),1705365776,1705365926,2576,2726,2726.0,10,0.0
212,9,reshuffle,366,363,(5;5;3),(0;6;1),1705365926,1705366046,2726,2846,2846.0,10,0.0
213,8,reshuffle,365,363,(5;5;2),(0;6;2),1705365936,1705366086,2736,2886,2886.0,10,0.0
214,9,reshuffle,364,363,(5;5;1),(0;6;3),1705366046,1705366166,2846,2966,2966.0,10,0.0
215,8,target,363,363,(5;5;0),work station (Port 2),1705366086,1705366236,2886,3036,3036.0,10,20.0
216,3,return,363,363,work station (Port 2),(3;2;6),1705366446,1705366767,3246,3567,3567.0,10,0.0
